Author (Year),Name,User Evaluation,Interaction & Visualisation,Rhythmic or
,,,,Tempo Support
Schwarz (2000),Caterpillar,No,2D explorer,No
Zils & Pachet (2001),Musaicing,No,?,Yes
Hazel (2001),Soundmosaic,No,Command Line,No
Hoskinson & Pai (2001),Soundscapes,No,Waveform/Menus,No
Xiang (2002),Granuloop,No,2D Controller,Yes
Kobayashi (2003),Sound Clustering Synthesis,No,?,No
Cardle et al. (2003),Directed Soundtrack Synthesis,Videos of use cases,Waveform/Menus,No
Lazier & Cook (2003),MoSievius,No,?,Looping
Sturm (2004),MATConcat,No,Waveform/Menus,No
Lindemann (2004),Synful (Commercial),Not available,Knobs/Sliders,No
Casey (2005),Soundspotter,Retrieval Accuracy,Native Pure Data,No
"Aucouturier & Pachet, (2005)",Ringomatic,User Experiment,Lists/Menus,Drumming Tool
Simon et al. (2005),Audio Analogies,Algorithm Performance,None,No
Jehan (2005),Skeleton,Algorithmic evaluation,Waveform/Menus,
Schwarz (2005),CataRT,No,2D Timbre Space,Looping option
Weiss et al. (2009),None,No,Waveform Segments,No
Frisson et al. (2010),AudioGarden,No,2D Timbre Space / Waveform,No
Hackbarth (2010),AudioGuide,No,2D CataRT based,No
O’Connell (2011),None,Yes,Native Pure Data,Looping demo
Bernardes (2014),EarGram,Author’s impressions,2D Timbre Space and Matrices,Looping
