Algorithm,Dataset,Onsets,TP,FP,FN,Precision,Recall,F-measure,mean,std
CNN,ENST-1,8813,8057,697,756,0.921,0.937,0.921,2.5,5
,ENST-2,10319,9738,484,581,0.945,0.956,0.948,1.6,5.4
,ENST-3,11019,10154,464,865,0.932,0.926,0.928,2.5,5.4
,JKU,25827,23293,978,2534,0.941,0.9,0.916,-3.6,5.2
,Modal,501,418,122,83,0.774,0.798,0.744,-3.9,3.2
Superflux,ENST-1,8813,7867,756,946,0.911,0.931,0.915,-1.4,4.9
,ENST-2,10319,9553,549,766,0.94,0.957,0.946,-2.4,5.4
,ENST-3,11019,10018,481,1001,0.943,0.931,0.935,-1,5.3
,JKU,25827,20382,2820,5445,0.847,0.809,0.811,-5.9,5.9
,Modal,501,392,247,109,0.714,0.837,0.706,-4.2,3.5
OnsetRate,ENST-1,8813,6875,560,1938,0.901,0.875,0.871,-5.7,7.1
,ENST-2,10319,8116,447,2203,0.941,0.872,0.895,-6.3,7.3
,ENST-3,11019,8456,572,2563,0.91,0.868,0.875,-5.4,7.4
,JKU,25827,15736,3335,10091,0.793,0.627,0.686,-7.1,8.8
,Modal,501,333,213,168,0.719,0.784,0.732,-4.6,4.6
