,,F-Measure,,,,
Key,Name,Authors,SMC,MAZ,MCK, 𝛍
BK1,DBNBeatTracker.2016,"S. Böck,",56.8313,57.5286,63.6093,59.3231
,,F. Krebs,,,,
BK3,DBNDownBeatTracker,"S. Böck,  ",52.8343,73.8911,62.5299,63.0851
,,F Korzeniowski,,,,
BK2,        ,"S Böck,",52.3142,55.1651,62.7315,56.7369
,CRFBeatDetector.2016,F Krebs,,,,
SB9,BeatRoot Vamp Plugin,S. Böck,52.097,58.9357,63.8961,58.3096
SB8,QM Tempo Tracker,S. Böck,49.8366,52.2792,63.8436,55.3198
JZ1,MultifeatureBT-Inf-7odf-Repet,J. R. Zapata,36.8192,50.63,52.6104,46.6865
JZ2,MultifeatureBT-Reg-7odf-Repet,J. R. Zapata,36.4073,47.874,53.2314,45.8376
CD3,QM Tempo Tracker,"C. Cannam,",33.663,49.6229,52.8758,45.3872
,,M. Davies,,,,
CD2,BeatRoot Vamp Plugin,"C.Cannam, S.Dixon",30.34,41.5218,52.6579,41.5066
