Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,1
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,1
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,2
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,2
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,2
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,2
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,5
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,5
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,5
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,5
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,4
interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,4
