Algorithm,Measure,Value
CNN,precision,0.9054054054054054
CNN,recall,0.7528089887640449
CNN,f-measure,0.8220858895705522
CNN,precision,0.9148936170212766
CNN,recall,0.8037383177570093
CNN,f-measure,0.8557213930348259
CNN,precision,0.88
CNN,recall,0.8148148148148148
CNN,f-measure,0.8461538461538461
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9509803921568627
CNN,recall,0.9897959183673469
CNN,f-measure,0.9700000000000001
CNN,precision,1.0
CNN,recall,0.98989898989899
CNN,f-measure,0.9949238578680203
CNN,precision,0.9230769230769231
CNN,recall,1.0
CNN,f-measure,0.9600000000000001
CNN,precision,0.9523809523809523
CNN,recall,0.9655172413793104
CNN,f-measure,0.9589041095890412
CNN,precision,1.0
CNN,recall,0.9968454258675079
CNN,f-measure,0.9984202211690364
CNN,precision,1.0
CNN,recall,0.99
CNN,f-measure,0.9949748743718593
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,0.9867549668874173
CNN,f-measure,0.9933333333333334
CNN,precision,0.9172413793103448
CNN,recall,0.8209876543209876
CNN,f-measure,0.8664495114006514
CNN,precision,0.6666666666666666
CNN,recall,0.13333333333333333
CNN,f-measure,0.2222222222222222
CNN,precision,0.9969230769230769
CNN,recall,0.9529411764705882
CNN,f-measure,0.9744360902255639
CNN,precision,0.9487951807228916
CNN,recall,0.9051724137931034
CNN,f-measure,0.9264705882352942
CNN,precision,0.963302752293578
CNN,recall,0.9545454545454546
CNN,f-measure,0.958904109589041
CNN,precision,0.8431372549019608
CNN,recall,1.0
CNN,f-measure,0.9148936170212766
CNN,precision,0.8421052631578947
CNN,recall,1.0
CNN,f-measure,0.9142857142857143
CNN,precision,0.9090909090909091
CNN,recall,1.0
CNN,f-measure,0.9523809523809523
CNN,precision,0.8947368421052632
CNN,recall,1.0
CNN,f-measure,0.9444444444444444
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9117647058823529
CNN,recall,1.0
CNN,f-measure,0.9538461538461539
CNN,precision,0.9824561403508771
CNN,recall,0.875
CNN,f-measure,0.9256198347107438
CNN,precision,0.9642857142857143
CNN,recall,1.0
CNN,f-measure,0.9818181818181818
CNN,precision,0.9333333333333333
CNN,recall,0.9545454545454546
CNN,f-measure,0.9438202247191012
CNN,precision,0.9375
CNN,recall,0.9375
CNN,f-measure,0.9375
CNN,precision,0.9459459459459459
CNN,recall,0.9459459459459459
CNN,f-measure,0.9459459459459459
CNN,precision,1.0
CNN,recall,0.9836065573770492
CNN,f-measure,0.9917355371900827
CNN,precision,0.96875
CNN,recall,0.96875
CNN,f-measure,0.96875
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9791666666666666
CNN,recall,1.0
CNN,f-measure,0.9894736842105264
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9666666666666667
CNN,recall,1.0
CNN,f-measure,0.983050847457627
CNN,precision,0.9
CNN,recall,1.0
CNN,f-measure,0.9473684210526316
CNN,precision,0.9285714285714286
CNN,recall,1.0
CNN,f-measure,0.962962962962963
CNN,precision,0.75
CNN,recall,1.0
CNN,f-measure,0.8571428571428571
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9577464788732394
CNN,recall,0.8717948717948718
CNN,f-measure,0.9127516778523489
CNN,precision,0.9803921568627451
CNN,recall,0.9615384615384616
CNN,f-measure,0.970873786407767
CNN,precision,0.974025974025974
CNN,recall,0.9868421052631579
CNN,f-measure,0.9803921568627451
CNN,precision,0.7272727272727273
CNN,recall,0.47058823529411764
CNN,f-measure,0.5714285714285714
CNN,precision,0.875
CNN,recall,0.9545454545454546
CNN,f-measure,0.9130434782608695
CNN,precision,0.90625
CNN,recall,0.90625
CNN,f-measure,0.90625
CNN,precision,0.8
CNN,recall,0.8888888888888888
CNN,f-measure,0.8421052631578948
CNN,precision,0.9803921568627451
CNN,recall,0.78125
CNN,f-measure,0.8695652173913042
CNN,precision,0.9183673469387755
CNN,recall,0.9375
CNN,f-measure,0.9278350515463918
CNN,precision,0.9629629629629629
CNN,recall,1.0
CNN,f-measure,0.9811320754716981
CNN,precision,0.9285714285714286
CNN,recall,0.9285714285714286
CNN,f-measure,0.9285714285714286
CNN,precision,0.9743589743589743
CNN,recall,1.0
CNN,f-measure,0.9870129870129869
