Gender,Age,casualListen,focusListen,Instrument,Percussion,Read,Rock_Preference,Electronic_Preference,Latin_Preference,Complex_Rhythms,Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-95-3.wav,95,3,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-91-6.wav,91,6,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Hamming,Parallel,Latin-Hamming-Parallel-77-15.wav,77,15,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Hamming,Parallel,Latin-Hamming-Parallel-83-11.wav,83,11,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Hamming,Parallel,Latin-Hamming-Parallel-92-5.wav,92,5,5
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Swap,Linear,Latin-Swap-Linear-05-21.wav,05,21,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Swap,Linear,Latin-Swap-Linear-14-6.wav,14,6,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Swap,Linear,Latin-Swap-Linear-33-2.wav,33,2,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Swap,Parallel,Latin-Swap-Parallel-15-26.wav,15,26,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Swap,Parallel,Latin-Swap-Parallel-31-11.wav,31,11,5
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,latin,Swap,Parallel,Latin-Swap-Parallel-54-5.wav,54,5,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Hamming,Linear,Rock-Hamming-Linear-64-23.wav,64,23,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Hamming,Linear,Rock-Hamming-Linear-77-15.wav,77,15,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Hamming,Linear,Rock-Hamming-Linear-91-6.wav,91,6,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Hamming,Parallel,Rock-Hamming-Parallel-77-15.wav,77,15,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Hamming,Parallel,Rock-Hamming-Parallel-86-9.wav,86,9,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Hamming,Parallel,Rock-Hamming-Parallel-92-5.wav,92,5,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Swap,Linear,Rock-Swap-Linear-05-20.wav,05,20,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Swap,Linear,Rock-Swap-Linear-09-10.wav,09,10,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Swap,Linear,Rock-Swap-Linear-14-6.wav,14,6,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Swap,Parallel,Rock-Swap-Parallel-18-41.wav,18,41,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Swap,Parallel,Rock-Swap-Parallel-40-24.wav,40,24,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,interestingness,rock,Swap,Parallel,Rock-Swap-Parallel-69-4.wav,69,4,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Hamming,Linear,Electronic-Hamming-Linear-69-20.wav,69,20,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Hamming,Linear,Electronic-Hamming-Linear-81-12.wav,81,12,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Hamming,Linear,Electronic-Hamming-Linear-92-5.wav,92,5,5
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-75-16.wav,75,16,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-84-10.wav,84,10,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-92-5.wav,92,5,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-04-23.wav,04,23,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-11-8.wav,11,8,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-25-3.wav,25,3,5
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-15-40.wav,15,40,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-33-11.wav,33,11,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-58-4.wav,58,4,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-70-19.wav,70,19,3
